Static PTQ Fused CPU,resnet18,96.88,4.41,4.41,0.4,21.97,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,76.0,4.0,2.0,7.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,20.0,991.0,9.0,14.0,0.0,48.0,7.0,148.0,31.0,0.0,8.0,0.0,1.0,296.0
Static PTQ Fused CPU,resnet34,98.77,7.96,7.95,0.69,12.42,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,87.0,0.0,0.0,2.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,7.0,3.0,0.0,2.0,25.0,199.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.03,11.38,11.33,0.76,8.74,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,2.0,0.0,3.0,0.0,3.0,1022.0,6.0,3.0,1.0,2.0,18.0,208.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,97.54,4.87,4.83,1.05,20.18,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,319.0,1.0,1.0,1.0,0.0,13.0,998.0,10.0,13.0,0.0,26.0,8.0,167.0,33.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.75,7.85,7.8,0.79,12.66,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,26.0,198.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,98.93,10.84,10.8,0.76,9.16,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,2.0,0.0,4.0,0.0,1.0,1022.0,6.0,5.0,1.0,2.0,22.0,204.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,99.05,4.22,4.2,0.43,23.57,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,16.0,212.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.09,7.57,7.52,0.64,13.17,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1024.0,8.0,2.0,0.0,2.0,14.0,212.0,6.0,0.0,2.0,1.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.97,11.31,11.27,0.65,8.78,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,0.0,1019.0,7.0,8.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.03,4.32,4.3,0.41,23.05,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,2.0,2.0,16.0,211.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.09,7.61,7.57,0.59,13.08,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1026.0,6.0,2.0,0.0,2.0,17.0,210.0,5.0,0.0,2.0,1.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.91,11.22,11.22,0.76,8.81,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1020.0,7.0,6.0,1.0,1.0,15.0,206.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,95.69,4.53,4.51,0.42,21.22,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,68.0,11.0,2.0,8.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,38.0,971.0,7.0,18.0,0.0,79.0,3.0,125.0,27.0,0.0,17.0,0.0,0.0,288.0
Static PTQ Fused CPU,resnet34,98.65,8.88,8.79,1.07,11.22,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,87.0,0.0,0.0,2.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,2.0,1022.0,6.0,4.0,0.0,2.0,27.0,193.0,12.0,0.0,2.0,0.0,1.0,302.0
Static PTQ Fused CPU,resnet50,99.13,11.78,11.73,0.86,8.45,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,2.0,0.0,3.0,0.0,1.0,1022.0,6.0,5.0,1.0,2.0,14.0,212.0,5.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,97.36,4.27,4.24,0.43,22.97,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,13.0,996.0,9.0,16.0,0.0,34.0,8.0,161.0,31.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.79,7.63,7.6,0.7,13.0,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1022.0,7.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.09,11.01,10.99,0.83,9.02,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,1.0,1022.0,6.0,5.0,1.0,3.0,16.0,209.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,99.11,4.33,4.3,0.4,23.06,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,0.0,1.0,0.0,3.0,1018.0,10.0,3.0,1.0,2.0,13.0,215.0,3.0,0.0,3.0,0.0,4.0,298.0
Static PTQ Fused CPU,resnet34,99.11,7.8,7.74,0.59,12.8,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,1.0,4.0,0.0,1.0,1024.0,7.0,2.0,0.0,2.0,15.0,212.0,5.0,0.0,1.0,2.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.83,11.34,11.31,1.03,8.74,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,0.0,1013.0,13.0,8.0,1.0,1.0,10.0,210.0,12.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.05,4.33,4.32,0.38,22.9,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,15.0,213.0,3.0,0.0,3.0,0.0,4.0,298.0
Static PTQ Fused CPU,resnet34,99.07,7.81,7.75,0.66,12.78,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1026.0,6.0,2.0,0.0,2.0,16.0,211.0,5.0,0.0,3.0,2.0,3.0,297.0
Static PTQ Fused CPU,resnet50,98.99,12.12,12.07,2.13,8.2,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,0.0,1019.0,8.0,7.0,1.0,2.0,10.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,97.3,4.44,4.42,0.37,22.0,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,80.0,3.0,2.0,4.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,15.0,995.0,9.0,15.0,0.0,34.0,8.0,159.0,33.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.81,7.75,7.71,0.62,12.81,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.03,12.0,11.96,0.82,8.28,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,1.0,0.0,4.0,0.0,1.0,1021.0,7.0,5.0,1.0,3.0,16.0,209.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,97.36,4.26,4.22,0.39,23.07,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,15.0,996.0,9.0,14.0,0.0,33.0,8.0,161.0,32.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.83,7.61,7.53,0.58,13.13,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.11,11.87,11.82,0.76,8.39,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,1.0,1022.0,6.0,5.0,1.0,3.0,17.0,208.0,5.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.07,4.45,4.44,0.49,22.3,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,15.0,213.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.09,7.86,7.85,0.63,12.63,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,0.0,2.0,15.0,212.0,5.0,0.0,2.0,2.0,3.0,298.0
Static PTQ Fused CPU,resnet50,98.95,12.75,12.7,0.74,7.79,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,0.0,1018.0,9.0,7.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.05,4.51,4.45,0.39,22.28,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,3.0,1018.0,10.0,3.0,1.0,2.0,16.0,211.0,4.0,0.0,1.0,0.0,4.0,300.0
Static PTQ Fused CPU,resnet34,99.05,7.71,7.66,0.54,12.94,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,0.0,2.0,16.0,211.0,5.0,0.0,3.0,2.0,3.0,297.0
Static PTQ Fused CPU,resnet50,98.99,11.64,11.64,0.88,8.51,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,0.0,1019.0,8.0,7.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,96.88,4.45,4.42,0.42,21.9,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,76.0,4.0,2.0,7.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,20.0,991.0,9.0,14.0,0.0,48.0,7.0,148.0,31.0,0.0,8.0,0.0,1.0,296.0
Static PTQ Fused CPU,resnet34,98.77,7.78,7.73,0.55,12.78,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,87.0,0.0,0.0,2.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,7.0,3.0,0.0,2.0,25.0,199.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.03,11.25,11.2,0.68,8.84,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,2.0,0.0,3.0,0.0,3.0,1022.0,6.0,3.0,1.0,2.0,18.0,208.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,97.54,4.44,4.42,0.38,22.06,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,319.0,1.0,1.0,1.0,0.0,13.0,998.0,10.0,13.0,0.0,26.0,8.0,167.0,33.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.75,8.1,8.07,0.56,12.24,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,26.0,198.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,98.93,11.63,11.57,0.74,8.55,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,2.0,0.0,4.0,0.0,1.0,1022.0,6.0,5.0,1.0,2.0,22.0,204.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,99.05,4.41,4.37,0.34,22.64,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,16.0,212.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.09,8.18,8.15,0.66,12.16,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1024.0,8.0,2.0,0.0,2.0,14.0,212.0,6.0,0.0,2.0,1.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.97,11.28,11.21,0.71,8.83,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,0.0,1019.0,7.0,8.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.03,4.53,4.49,0.34,22.05,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,2.0,2.0,16.0,211.0,3.0,0.0,2.0,0.0,4.0,299.0
